black.py:28:syms = pygram.python_symbols
black.py:29:FileContent = str
black.py:35:LN = Union[Leaf, Node]
black.py:36:out = partial(click.secho, bold=True, err=True)
black.py:37:err = partial(click.secho, fg='red', err=True)
black.py:290:GRAMMARS = [
black.py:332:T = TypeVar('T')
black.py:396:WHITESPACE = {token.DEDENT, token.INDENT, token.NEWLINE}
black.py:398:STATEMENT = {
black.py:408:STANDALONE_COMMENT = 153
black.py:410:COMPARATORS = {
black.py:433:COMPREHENSION_PRIORITY = 20
black.py:434:COMMA_PRIORITY = 10
black.py:1075:BRACKET = {token.LPAR: token.RPAR, token.LSQB: token.RSQB, token.LBRACE: token.RBRACE}
black.py:1076:OPENING_BRACKETS = set(BRACKET.keys())
black.py:1077:CLOSING_BRACKETS = set(BRACKET.values())
black.py:1079:ALWAYS_NO_SPACE = CLOSING_BRACKETS | {token.COMMA, STANDALONE_COMMENT}
black.py:1900:if __name__ == '__main__':
tests/test_black.py:15:ll = 88
tests/test_black.py:17:fs = partial(black.format_str, line_length=ll)
tests/test_black.py:18:THIS_FILE = Path(__file__)
tests/test_black.py:20:EMPTY_LINE = '# EMPTY LINE WITH WHITESPACE' + ' (this comment will be removed)'
tests/test_black.py:328:if __name__ == '__main__':
tests/test_black.py:154:    def test_comments3(self) -> None:
black.py:974:                if node.type not in WHITESPACE:
black.py:975:                    self.current_line.append(node)
black.py:529:    def append(self, leaf: Leaf, preformatted: bool = False) -> None:
black.py:539:        has_value = leaf.value.strip()
black.py:540:        if not has_value:
black.py:543:        if self.leaves and not preformatted:
black.py:1082:def whitespace(leaf: Leaf) -> str:  # noqa C901
black.py:1084:    NO = ''
black.py:1085:    SPACE = ' '
black.py:1087:    t = leaf.type
black.py:1088:    p = leaf.parent
black.py:1089:    v = leaf.value
black.py:1090:    if t in ALWAYS_NO_SPACE:
black.py:1093:    if t == token.COMMENT:
black.py:1096:    assert p is not None, f"INTERNAL ERROR: hand-made leaf without parent: {leaf!r}"
black.py:1097:    if t == token.COLON and p.type not in {syms.subscript, syms.subscriptlist}:
black.py:1100:    prev = leaf.prev_sibling
black.py:1101:    if not prev:
black.py:1319:def preceding_leaf(node: Optional[LN]) -> Optional[Leaf]:
black.py:1321:    while node:
black.py:1321:    while node:
black.py:1322:        res = node.prev_sibling
black.py:1323:        if res:
black.py:1324:            if isinstance(res, Leaf):
black.py:1325:                return res
black.py:1102:        prevp = preceding_leaf(p)
black.py:1103:        if not prevp or prevp.type in OPENING_BRACKETS:
black.py:1106:        if t == token.COLON:
black.py:1109:        if prevp.type == token.EQUAL:
black.py:1:#!/usr/bin/env python3
black.py:1122:        elif prevp.type == token.DOUBLESTAR:
black.py:1:#!/usr/bin/env python3
black.py:1133:        elif prevp.type == token.COLON:
black.py:1:#!/usr/bin/env python3
black.py:1137:        elif (
black.py:1:#!/usr/bin/env python3
black.py:1144:        elif (
black.py:1158:    if p.type in {syms.parameters, syms.arglist}:
black.py:1:#!/usr/bin/env python3
black.py:1166:    elif p.type == syms.varargslist:
black.py:1:#!/usr/bin/env python3
black.py:1174:    elif p.type == syms.typedargslist:
black.py:1:#!/usr/bin/env python3
black.py:1191:    elif p.type == syms.tname:
black.py:1:#!/usr/bin/env python3
black.py:1198:    elif p.type == syms.trailer:
black.py:1200:        if t == token.LPAR or t == token.RPAR:
black.py:1203:        if not prev:
black.py:1204:            if t == token.DOT:
black.py:1319:def preceding_leaf(node: Optional[LN]) -> Optional[Leaf]:
black.py:1321:    while node:
black.py:1321:    while node:
black.py:1322:        res = node.prev_sibling
black.py:1323:        if res:
black.py:1324:            if isinstance(res, Leaf):
black.py:1325:                return res
black.py:1205:                prevp = preceding_leaf(p)
black.py:1206:                if not prevp or prevp.type != token.NUMBER:
black.py:1207:                    return NO
black.py:546:            leaf.prefix += whitespace(leaf)
black.py:547:        if self.inside_brackets or not preformatted:
black.py:548:            self.maybe_decrement_after_for_loop_variable(leaf)
black.py:688:    def maybe_decrement_after_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:690:        if self._for_loop_variable and leaf.type == token.NAME and leaf.value == 'in':
black.py:695:        return False
black.py:549:            self.bracket_tracker.mark(leaf)
black.py:450:    def mark(self, leaf: Leaf) -> None:
black.py:465:        if leaf.type == token.COMMENT:
black.py:468:        if leaf.type in CLOSING_BRACKETS:
black.py:472:        leaf.bracket_depth = self.depth
black.py:473:        if self.depth == 0:
black.py:500:        if leaf.type in OPENING_BRACKETS:
black.py:503:        self.previous = leaf
black.py:550:            self.maybe_remove_trailing_comma(leaf)
black.py:625:    def maybe_remove_trailing_comma(self, closing: Leaf) -> bool:
black.py:627:        if not (
black.py:632:            return False
black.py:551:            self.maybe_increment_for_loop_variable(leaf)
black.py:674:    def maybe_increment_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:680:        if leaf.type == token.NAME and leaf.value == 'for':
black.py:686:        return False
black.py:552:            if self.maybe_adapt_standalone_comment(leaf):
black.py:697:    def maybe_adapt_standalone_comment(self, comment: Leaf) -> bool:
black.py:706:        if not (
black.py:710:            return False
black.py:555:        if not self.append_comment(leaf):
black.py:716:    def append_comment(self, comment: Leaf) -> bool:
black.py:718:        if comment.type != token.COMMENT:
black.py:719:            return False
black.py:556:            self.leaves.append(leaf)
black.py:354:    def visit_default(self, node: LN) -> Iterator[T]:
black.py:356:        if isinstance(node, Node):
black.py:357:            for child in node.children:
black.py:928:    def visit(self, node: LN) -> Iterator[Line]:
black.py:933:        if isinstance(self.current_line, UnformattedLines):
black.py:938:            yield from super().visit(node)
black.py:338:    def visit(self, node: LN) -> Iterator[T]:
black.py:348:        if node.type < 256:
black.py:349:            name = token.tok_name[node.type]
black.py:940:    def visit_default(self, node: LN) -> Iterator[Line]:
black.py:942:        if isinstance(node, Leaf):
black.py:505:    def any_open_brackets(self) -> bool:
black.py:507:        return bool(self.bracket_match)
black.py:943:            any_open_brackets = self.current_line.bracket_tracker.any_open_brackets()
black.py:944:            try:
black.py:1358:def generate_comments(leaf: Leaf) -> Iterator[Leaf]:
black.py:1377:    p = leaf.prefix
black.py:1378:    if not p:
black.py:1379:        return
black.py:1:#!/usr/bin/env python3
black.py:973:                normalize_prefix(node, inside_brackets=any_open_brackets)
black.py:1661:def normalize_prefix(leaf: Leaf, *, inside_brackets: bool) -> None:
black.py:1667:    if not inside_brackets:
black.py:1676:    leaf.prefix = ''
black.py:974:                if node.type not in WHITESPACE:
black.py:975:                    self.current_line.append(node)
black.py:529:    def append(self, leaf: Leaf, preformatted: bool = False) -> None:
black.py:539:        has_value = leaf.value.strip()
black.py:540:        if not has_value:
black.py:543:        if self.leaves and not preformatted:
black.py:1082:def whitespace(leaf: Leaf) -> str:  # noqa C901
black.py:1084:    NO = ''
black.py:1085:    SPACE = ' '
black.py:1087:    t = leaf.type
black.py:1088:    p = leaf.parent
black.py:1089:    v = leaf.value
black.py:1090:    if t in ALWAYS_NO_SPACE:
black.py:1093:    if t == token.COMMENT:
black.py:1096:    assert p is not None, f"INTERNAL ERROR: hand-made leaf without parent: {leaf!r}"
black.py:1097:    if t == token.COLON and p.type not in {syms.subscript, syms.subscriptlist}:
black.py:1100:    prev = leaf.prev_sibling
black.py:1101:    if not prev:
black.py:1:#!/usr/bin/env python3
black.py:1155:    elif prev.type in OPENING_BRACKETS:
black.py:1158:    if p.type in {syms.parameters, syms.arglist}:
black.py:1:#!/usr/bin/env python3
black.py:1166:    elif p.type == syms.varargslist:
black.py:1:#!/usr/bin/env python3
black.py:1174:    elif p.type == syms.typedargslist:
black.py:1:#!/usr/bin/env python3
black.py:1191:    elif p.type == syms.tname:
black.py:1:#!/usr/bin/env python3
black.py:1198:    elif p.type == syms.trailer:
black.py:1200:        if t == token.LPAR or t == token.RPAR:
black.py:1203:        if not prev:
black.py:1:#!/usr/bin/env python3
black.py:1212:        elif prev.type != token.COMMA:
black.py:1213:            return NO
black.py:546:            leaf.prefix += whitespace(leaf)
black.py:547:        if self.inside_brackets or not preformatted:
black.py:548:            self.maybe_decrement_after_for_loop_variable(leaf)
black.py:688:    def maybe_decrement_after_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:690:        if self._for_loop_variable and leaf.type == token.NAME and leaf.value == 'in':
black.py:695:        return False
black.py:549:            self.bracket_tracker.mark(leaf)
black.py:450:    def mark(self, leaf: Leaf) -> None:
black.py:465:        if leaf.type == token.COMMENT:
black.py:468:        if leaf.type in CLOSING_BRACKETS:
black.py:472:        leaf.bracket_depth = self.depth
black.py:473:        if self.depth == 0:
black.py:500:        if leaf.type in OPENING_BRACKETS:
black.py:503:        self.previous = leaf
black.py:550:            self.maybe_remove_trailing_comma(leaf)
black.py:625:    def maybe_remove_trailing_comma(self, closing: Leaf) -> bool:
black.py:627:        if not (
black.py:632:            return False
black.py:551:            self.maybe_increment_for_loop_variable(leaf)
black.py:674:    def maybe_increment_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:680:        if leaf.type == token.NAME and leaf.value == 'for':
black.py:686:        return False
black.py:552:            if self.maybe_adapt_standalone_comment(leaf):
black.py:697:    def maybe_adapt_standalone_comment(self, comment: Leaf) -> bool:
black.py:706:        if not (
black.py:710:            return False
black.py:555:        if not self.append_comment(leaf):
black.py:716:    def append_comment(self, comment: Leaf) -> bool:
black.py:718:        if comment.type != token.COMMENT:
black.py:719:            return False
black.py:556:            self.leaves.append(leaf)
black.py:354:    def visit_default(self, node: LN) -> Iterator[T]:
black.py:356:        if isinstance(node, Node):
black.py:357:            for child in node.children:
black.py:928:    def visit(self, node: LN) -> Iterator[Line]:
black.py:933:        if isinstance(self.current_line, UnformattedLines):
black.py:938:            yield from super().visit(node)
black.py:338:    def visit(self, node: LN) -> Iterator[T]:
black.py:348:        if node.type < 256:
black.py:351:            name = type_repr(node.type)
black.py:351:            name = type_repr(node.type)
black.py:940:    def visit_default(self, node: LN) -> Iterator[Line]:
black.py:942:        if isinstance(node, Leaf):
black.py:354:    def visit_default(self, node: LN) -> Iterator[T]:
black.py:356:        if isinstance(node, Node):
black.py:357:            for child in node.children:
black.py:928:    def visit(self, node: LN) -> Iterator[Line]:
black.py:933:        if isinstance(self.current_line, UnformattedLines):
black.py:938:            yield from super().visit(node)
black.py:338:    def visit(self, node: LN) -> Iterator[T]:
black.py:348:        if node.type < 256:
black.py:349:            name = token.tok_name[node.type]
black.py:940:    def visit_default(self, node: LN) -> Iterator[Line]:
black.py:942:        if isinstance(node, Leaf):
black.py:505:    def any_open_brackets(self) -> bool:
black.py:507:        return bool(self.bracket_match)
black.py:943:            any_open_brackets = self.current_line.bracket_tracker.any_open_brackets()
black.py:944:            try:
black.py:1358:def generate_comments(leaf: Leaf) -> Iterator[Leaf]:
black.py:1377:    p = leaf.prefix
black.py:1378:    if not p:
black.py:1379:        return
black.py:1:#!/usr/bin/env python3
black.py:973:                normalize_prefix(node, inside_brackets=any_open_brackets)
black.py:1661:def normalize_prefix(leaf: Leaf, *, inside_brackets: bool) -> None:
black.py:1667:    if not inside_brackets:
black.py:1676:    leaf.prefix = ''
black.py:974:                if node.type not in WHITESPACE:
black.py:975:                    self.current_line.append(node)
black.py:529:    def append(self, leaf: Leaf, preformatted: bool = False) -> None:
black.py:539:        has_value = leaf.value.strip()
black.py:540:        if not has_value:
black.py:543:        if self.leaves and not preformatted:
black.py:1082:def whitespace(leaf: Leaf) -> str:  # noqa C901
black.py:1084:    NO = ''
black.py:1085:    SPACE = ' '
black.py:1087:    t = leaf.type
black.py:1088:    p = leaf.parent
black.py:1089:    v = leaf.value
black.py:1090:    if t in ALWAYS_NO_SPACE:
black.py:1093:    if t == token.COMMENT:
black.py:1096:    assert p is not None, f"INTERNAL ERROR: hand-made leaf without parent: {leaf!r}"
black.py:1097:    if t == token.COLON and p.type not in {syms.subscript, syms.subscriptlist}:
black.py:1100:    prev = leaf.prev_sibling
black.py:1101:    if not prev:
black.py:1319:def preceding_leaf(node: Optional[LN]) -> Optional[Leaf]:
black.py:1321:    while node:
black.py:1321:    while node:
black.py:1322:        res = node.prev_sibling
black.py:1323:        if res:
black.py:1324:            if isinstance(res, Leaf):
black.py:1327:            try:
black.py:1328:                return list(res.leaves())[-1]
black.py:1102:        prevp = preceding_leaf(p)
black.py:1103:        if not prevp or prevp.type in OPENING_BRACKETS:
black.py:1106:        if t == token.COLON:
black.py:1109:        if prevp.type == token.EQUAL:
black.py:1:#!/usr/bin/env python3
black.py:1122:        elif prevp.type == token.DOUBLESTAR:
black.py:1:#!/usr/bin/env python3
black.py:1133:        elif prevp.type == token.COLON:
black.py:1:#!/usr/bin/env python3
black.py:1137:        elif (
black.py:1:#!/usr/bin/env python3
black.py:1144:        elif (
black.py:1158:    if p.type in {syms.parameters, syms.arglist}:
black.py:1:#!/usr/bin/env python3
black.py:1166:    elif p.type == syms.varargslist:
black.py:1:#!/usr/bin/env python3
black.py:1174:    elif p.type == syms.typedargslist:
black.py:1:#!/usr/bin/env python3
black.py:1191:    elif p.type == syms.tname:
black.py:1:#!/usr/bin/env python3
black.py:1198:    elif p.type == syms.trailer:
black.py:1200:        if t == token.LPAR or t == token.RPAR:
black.py:1201:            return NO
black.py:546:            leaf.prefix += whitespace(leaf)
black.py:547:        if self.inside_brackets or not preformatted:
black.py:548:            self.maybe_decrement_after_for_loop_variable(leaf)
black.py:688:    def maybe_decrement_after_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:690:        if self._for_loop_variable and leaf.type == token.NAME and leaf.value == 'in':
black.py:695:        return False
black.py:549:            self.bracket_tracker.mark(leaf)
black.py:450:    def mark(self, leaf: Leaf) -> None:
black.py:465:        if leaf.type == token.COMMENT:
black.py:468:        if leaf.type in CLOSING_BRACKETS:
black.py:472:        leaf.bracket_depth = self.depth
black.py:473:        if self.depth == 0:
black.py:500:        if leaf.type in OPENING_BRACKETS:
black.py:501:            self.bracket_match[self.depth, BRACKET[leaf.type]] = leaf
black.py:502:            self.depth += 1
black.py:503:        self.previous = leaf
black.py:550:            self.maybe_remove_trailing_comma(leaf)
black.py:625:    def maybe_remove_trailing_comma(self, closing: Leaf) -> bool:
black.py:627:        if not (
black.py:632:            return False
black.py:551:            self.maybe_increment_for_loop_variable(leaf)
black.py:674:    def maybe_increment_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:680:        if leaf.type == token.NAME and leaf.value == 'for':
black.py:686:        return False
black.py:552:            if self.maybe_adapt_standalone_comment(leaf):
black.py:697:    def maybe_adapt_standalone_comment(self, comment: Leaf) -> bool:
black.py:706:        if not (
black.py:710:            return False
black.py:555:        if not self.append_comment(leaf):
black.py:716:    def append_comment(self, comment: Leaf) -> bool:
black.py:718:        if comment.type != token.COMMENT:
black.py:719:            return False
black.py:556:            self.leaves.append(leaf)
black.py:354:    def visit_default(self, node: LN) -> Iterator[T]:
black.py:356:        if isinstance(node, Node):
black.py:357:            for child in node.children:
black.py:928:    def visit(self, node: LN) -> Iterator[Line]:
black.py:933:        if isinstance(self.current_line, UnformattedLines):
black.py:938:            yield from super().visit(node)
black.py:338:    def visit(self, node: LN) -> Iterator[T]:
black.py:348:        if node.type < 256:
black.py:351:            name = type_repr(node.type)
black.py:351:            name = type_repr(node.type)
black.py:940:    def visit_default(self, node: LN) -> Iterator[Line]:
black.py:942:        if isinstance(node, Leaf):
black.py:354:    def visit_default(self, node: LN) -> Iterator[T]:
black.py:356:        if isinstance(node, Node):
black.py:357:            for child in node.children:
black.py:928:    def visit(self, node: LN) -> Iterator[Line]:
black.py:933:        if isinstance(self.current_line, UnformattedLines):
black.py:938:            yield from super().visit(node)
black.py:338:    def visit(self, node: LN) -> Iterator[T]:
black.py:348:        if node.type < 256:
black.py:349:            name = token.tok_name[node.type]
black.py:940:    def visit_default(self, node: LN) -> Iterator[Line]:
black.py:942:        if isinstance(node, Leaf):
black.py:505:    def any_open_brackets(self) -> bool:
black.py:507:        return bool(self.bracket_match)
black.py:943:            any_open_brackets = self.current_line.bracket_tracker.any_open_brackets()
black.py:944:            try:
black.py:1358:def generate_comments(leaf: Leaf) -> Iterator[Leaf]:
black.py:1377:    p = leaf.prefix
black.py:1378:    if not p:
black.py:1379:        return
black.py:1:#!/usr/bin/env python3
black.py:973:                normalize_prefix(node, inside_brackets=any_open_brackets)
black.py:1661:def normalize_prefix(leaf: Leaf, *, inside_brackets: bool) -> None:
black.py:1667:    if not inside_brackets:
black.py:1676:    leaf.prefix = ''
black.py:974:                if node.type not in WHITESPACE:
black.py:975:                    self.current_line.append(node)
black.py:529:    def append(self, leaf: Leaf, preformatted: bool = False) -> None:
black.py:539:        has_value = leaf.value.strip()
black.py:540:        if not has_value:
black.py:543:        if self.leaves and not preformatted:
black.py:1082:def whitespace(leaf: Leaf) -> str:  # noqa C901
black.py:1084:    NO = ''
black.py:1085:    SPACE = ' '
black.py:1087:    t = leaf.type
black.py:1088:    p = leaf.parent
black.py:1089:    v = leaf.value
black.py:1090:    if t in ALWAYS_NO_SPACE:
black.py:1093:    if t == token.COMMENT:
black.py:1096:    assert p is not None, f"INTERNAL ERROR: hand-made leaf without parent: {leaf!r}"
black.py:1097:    if t == token.COLON and p.type not in {syms.subscript, syms.subscriptlist}:
black.py:1100:    prev = leaf.prev_sibling
black.py:1101:    if not prev:
black.py:1319:def preceding_leaf(node: Optional[LN]) -> Optional[Leaf]:
black.py:1321:    while node:
black.py:1321:    while node:
black.py:1322:        res = node.prev_sibling
black.py:1323:        if res:
black.py:1324:            if isinstance(res, Leaf):
black.py:1325:                return res
black.py:1102:        prevp = preceding_leaf(p)
black.py:1103:        if not prevp or prevp.type in OPENING_BRACKETS:
black.py:1104:            return NO
black.py:546:            leaf.prefix += whitespace(leaf)
black.py:547:        if self.inside_brackets or not preformatted:
black.py:548:            self.maybe_decrement_after_for_loop_variable(leaf)
black.py:688:    def maybe_decrement_after_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:690:        if self._for_loop_variable and leaf.type == token.NAME and leaf.value == 'in':
black.py:695:        return False
black.py:549:            self.bracket_tracker.mark(leaf)
black.py:450:    def mark(self, leaf: Leaf) -> None:
black.py:465:        if leaf.type == token.COMMENT:
black.py:468:        if leaf.type in CLOSING_BRACKETS:
black.py:472:        leaf.bracket_depth = self.depth
black.py:473:        if self.depth == 0:
black.py:500:        if leaf.type in OPENING_BRACKETS:
black.py:503:        self.previous = leaf
black.py:550:            self.maybe_remove_trailing_comma(leaf)
black.py:625:    def maybe_remove_trailing_comma(self, closing: Leaf) -> bool:
black.py:627:        if not (
black.py:632:            return False
black.py:551:            self.maybe_increment_for_loop_variable(leaf)
black.py:674:    def maybe_increment_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:680:        if leaf.type == token.NAME and leaf.value == 'for':
black.py:686:        return False
black.py:552:            if self.maybe_adapt_standalone_comment(leaf):
black.py:697:    def maybe_adapt_standalone_comment(self, comment: Leaf) -> bool:
black.py:706:        if not (
black.py:710:            return False
black.py:555:        if not self.append_comment(leaf):
black.py:716:    def append_comment(self, comment: Leaf) -> bool:
black.py:718:        if comment.type != token.COMMENT:
black.py:719:            return False
black.py:556:            self.leaves.append(leaf)
black.py:354:    def visit_default(self, node: LN) -> Iterator[T]:
black.py:356:        if isinstance(node, Node):
black.py:357:            for child in node.children:
black.py:928:    def visit(self, node: LN) -> Iterator[Line]:
black.py:933:        if isinstance(self.current_line, UnformattedLines):
black.py:938:            yield from super().visit(node)
black.py:338:    def visit(self, node: LN) -> Iterator[T]:
black.py:348:        if node.type < 256:
black.py:349:            name = token.tok_name[node.type]
black.py:940:    def visit_default(self, node: LN) -> Iterator[Line]:
black.py:942:        if isinstance(node, Leaf):
black.py:505:    def any_open_brackets(self) -> bool:
black.py:507:        return bool(self.bracket_match)
black.py:943:            any_open_brackets = self.current_line.bracket_tracker.any_open_brackets()
black.py:944:            try:
black.py:1358:def generate_comments(leaf: Leaf) -> Iterator[Leaf]:
black.py:1377:    p = leaf.prefix
black.py:1378:    if not p:
black.py:1379:        return
black.py:1:#!/usr/bin/env python3
black.py:973:                normalize_prefix(node, inside_brackets=any_open_brackets)
black.py:1661:def normalize_prefix(leaf: Leaf, *, inside_brackets: bool) -> None:
black.py:1667:    if not inside_brackets:
black.py:1676:    leaf.prefix = ''
black.py:974:                if node.type not in WHITESPACE:
black.py:975:                    self.current_line.append(node)
black.py:529:    def append(self, leaf: Leaf, preformatted: bool = False) -> None:
black.py:539:        has_value = leaf.value.strip()
black.py:540:        if not has_value:
black.py:543:        if self.leaves and not preformatted:
black.py:1082:def whitespace(leaf: Leaf) -> str:  # noqa C901
black.py:1084:    NO = ''
black.py:1085:    SPACE = ' '
black.py:1087:    t = leaf.type
black.py:1088:    p = leaf.parent
black.py:1089:    v = leaf.value
black.py:1090:    if t in ALWAYS_NO_SPACE:
black.py:1091:        return NO
black.py:546:            leaf.prefix += whitespace(leaf)
black.py:547:        if self.inside_brackets or not preformatted:
black.py:548:            self.maybe_decrement_after_for_loop_variable(leaf)
black.py:688:    def maybe_decrement_after_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:690:        if self._for_loop_variable and leaf.type == token.NAME and leaf.value == 'in':
black.py:695:        return False
black.py:549:            self.bracket_tracker.mark(leaf)
black.py:450:    def mark(self, leaf: Leaf) -> None:
black.py:465:        if leaf.type == token.COMMENT:
black.py:468:        if leaf.type in CLOSING_BRACKETS:
black.py:472:        leaf.bracket_depth = self.depth
black.py:473:        if self.depth == 0:
black.py:500:        if leaf.type in OPENING_BRACKETS:
black.py:503:        self.previous = leaf
black.py:550:            self.maybe_remove_trailing_comma(leaf)
black.py:625:    def maybe_remove_trailing_comma(self, closing: Leaf) -> bool:
black.py:627:        if not (
black.py:632:            return False
black.py:551:            self.maybe_increment_for_loop_variable(leaf)
black.py:674:    def maybe_increment_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:680:        if leaf.type == token.NAME and leaf.value == 'for':
black.py:686:        return False
black.py:552:            if self.maybe_adapt_standalone_comment(leaf):
black.py:697:    def maybe_adapt_standalone_comment(self, comment: Leaf) -> bool:
black.py:706:        if not (
black.py:710:            return False
black.py:555:        if not self.append_comment(leaf):
black.py:716:    def append_comment(self, comment: Leaf) -> bool:
black.py:718:        if comment.type != token.COMMENT:
black.py:719:            return False
black.py:556:            self.leaves.append(leaf)
black.py:354:    def visit_default(self, node: LN) -> Iterator[T]:
black.py:356:        if isinstance(node, Node):
black.py:357:            for child in node.children:
black.py:928:    def visit(self, node: LN) -> Iterator[Line]:
black.py:933:        if isinstance(self.current_line, UnformattedLines):
black.py:938:            yield from super().visit(node)
black.py:338:    def visit(self, node: LN) -> Iterator[T]:
black.py:348:        if node.type < 256:
black.py:349:            name = token.tok_name[node.type]
black.py:940:    def visit_default(self, node: LN) -> Iterator[Line]:
black.py:942:        if isinstance(node, Leaf):
black.py:505:    def any_open_brackets(self) -> bool:
black.py:507:        return bool(self.bracket_match)
black.py:943:            any_open_brackets = self.current_line.bracket_tracker.any_open_brackets()
black.py:944:            try:
black.py:1358:def generate_comments(leaf: Leaf) -> Iterator[Leaf]:
black.py:1377:    p = leaf.prefix
black.py:1378:    if not p:
black.py:1381:    if '#' not in p:
black.py:1382:        return
black.py:1:#!/usr/bin/env python3
black.py:973:                normalize_prefix(node, inside_brackets=any_open_brackets)
black.py:1661:def normalize_prefix(leaf: Leaf, *, inside_brackets: bool) -> None:
black.py:1667:    if not inside_brackets:
black.py:1676:    leaf.prefix = ''
black.py:974:                if node.type not in WHITESPACE:
black.py:975:                    self.current_line.append(node)
black.py:529:    def append(self, leaf: Leaf, preformatted: bool = False) -> None:
black.py:539:        has_value = leaf.value.strip()
black.py:540:        if not has_value:
black.py:543:        if self.leaves and not preformatted:
black.py:1082:def whitespace(leaf: Leaf) -> str:  # noqa C901
black.py:1084:    NO = ''
black.py:1085:    SPACE = ' '
black.py:1087:    t = leaf.type
black.py:1088:    p = leaf.parent
black.py:1089:    v = leaf.value
black.py:1090:    if t in ALWAYS_NO_SPACE:
black.py:1093:    if t == token.COMMENT:
black.py:1096:    assert p is not None, f"INTERNAL ERROR: hand-made leaf without parent: {leaf!r}"
black.py:1097:    if t == token.COLON and p.type not in {syms.subscript, syms.subscriptlist}:
black.py:1100:    prev = leaf.prev_sibling
black.py:1101:    if not prev:
black.py:1:#!/usr/bin/env python3
black.py:1155:    elif prev.type in OPENING_BRACKETS:
black.py:1158:    if p.type in {syms.parameters, syms.arglist}:
black.py:1160:        if t == token.RPAR:
black.py:1163:        if not prev or prev.type != token.COMMA:
black.py:1316:    return SPACE
black.py:546:            leaf.prefix += whitespace(leaf)
black.py:547:        if self.inside_brackets or not preformatted:
black.py:548:            self.maybe_decrement_after_for_loop_variable(leaf)
black.py:688:    def maybe_decrement_after_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:690:        if self._for_loop_variable and leaf.type == token.NAME and leaf.value == 'in':
black.py:695:        return False
black.py:549:            self.bracket_tracker.mark(leaf)
black.py:450:    def mark(self, leaf: Leaf) -> None:
black.py:465:        if leaf.type == token.COMMENT:
black.py:468:        if leaf.type in CLOSING_BRACKETS:
black.py:472:        leaf.bracket_depth = self.depth
black.py:473:        if self.depth == 0:
black.py:500:        if leaf.type in OPENING_BRACKETS:
black.py:503:        self.previous = leaf
black.py:550:            self.maybe_remove_trailing_comma(leaf)
black.py:625:    def maybe_remove_trailing_comma(self, closing: Leaf) -> bool:
black.py:627:        if not (
black.py:632:            return False
black.py:551:            self.maybe_increment_for_loop_variable(leaf)
black.py:674:    def maybe_increment_for_loop_variable(self, leaf: Leaf) -> bool:
black.py:680:        if leaf.type == token.NAME and leaf.value == 'for':
black.py:686:        return False
black.py:552:            if self.maybe_adapt_standalone_comment(leaf):
black.py:697:    def maybe_adapt_standalone_comment(self, comment: Leaf) -> bool:
black.py:706:        if not (
black.py:710:            return False
black.py:555:        if not self.append_comment(leaf):
black.py:716:    def append_comment(self, comment: Leaf) -> bool:
black.py:718:        if comment.type != token.COMMENT:
black.py:719:            return False
black.py:556:            self.leaves.append(leaf)
black.py:354:    def visit_default(self, node: LN) -> Iterator[T]:
black.py:356:        if isinstance(node, Node):
black.py:357:            for child in node.children:
black.py:928:    def visit(self, node: LN) -> Iterator[Line]:
black.py:933:        if isinstance(self.current_line, UnformattedLines):
black.py:938:            yield from super().visit(node)
black.py:338:    def visit(self, node: LN) -> Iterator[T]:
black.py:348:        if node.type < 256:
black.py:349:            name = token.tok_name[node.type]
black.py:940:    def visit_default(self, node: LN) -> Iterator[Line]:
black.py:942:        if isinstance(node, Leaf):
black.py:505:    def any_open_brackets(self) -> bool:
black.py:507:        return bool(self.bracket_match)
black.py:943:            any_open_brackets = self.current_line.bracket_tracker.any_open_brackets()
black.py:944:            try:
black.py:1358:def generate_comments(leaf: Leaf) -> Iterator[Leaf]:
black.py:1377:    p = leaf.prefix
black.py:1378:    if not p:
black.py:1379:        return
black.py:1:#!/usr/bin/env python3
black.py:973:                normalize_prefix(node, inside_brackets=any_open_brackets)
black.py:1661:def normalize_prefix(leaf: Leaf, *, inside_brackets: bool) -> None:
black.py:1667:    if not inside_brackets:
black.py:1676:    leaf.prefix = ''
black.py:974:                if node.type not in WHITESPACE:
black.py:975:                    self.current_line.append(node)
black.py:529:    def append(self, leaf: Leaf, preformatted: bool = False) -> None:
black.py:539:        has_value = leaf.value.strip()
black.py:540:        if not has_value:
black.py:543:        if self.leaves and not preformatted:
black.py:1082:def whitespace(leaf: Leaf) -> str:  # noqa C901
black.py:1084:    NO = ''
black.py:1085:    SPACE = ' '
black.py:1087:    t = leaf.type
black.py:1088:    p = leaf.parent
black.py:1089:    v = leaf.value
black.py:1090:    if t in ALWAYS_NO_SPACE:
black.py:1091:        return NO
black.py:546:            leaf.prefix += whitespace(leaf)
black.py:547:        if self.inside_brackets or not preformatted:
